n_estimators,learning_rate,max_depth,lambda_l1,lambda_l2,train_acc,val_acc,start_time,end_time,training_time
50,0.05,3,0.01,0.01,0.85625,0.8025,2025-01-05 13:26:15,2025-01-05 13:28:33,138.59978675842285
50,0.05,3,0.01,0.001,0.86375,0.8075,2025-01-05 13:26:15,2025-01-05 13:28:35,139.9007284641266
50,0.1,3,0.0,0.01,0.965,0.91,2025-01-05 13:28:32,2025-01-05 13:30:50,138.00616431236267
50,0.1,3,0.0,0.001,0.966875,0.91,2025-01-05 13:28:32,2025-01-05 13:30:50,138.4143829345703
50,0.1,3,0.0,0.0,0.965625,0.91,2025-01-05 13:28:32,2025-01-05 13:30:51,139.00578784942627
50,0.1,3,0.001,0.0,0.966875,0.91,2025-01-05 13:28:32,2025-01-05 13:30:51,138.56237721443176
50,0.1,3,0.01,0.001,0.965625,0.91,2025-01-05 13:28:33,2025-01-05 13:30:51,137.81475734710693
50,0.1,3,0.001,0.01,0.963125,0.91,2025-01-05 13:28:33,2025-01-05 13:30:51,138.5086088180542
50,0.1,3,0.01,0.0,0.96625,0.91,2025-01-05 13:28:33,2025-01-05 13:30:51,138.1513705253601
50,0.1,3,0.001,0.001,0.968125,0.9075,2025-01-05 13:28:33,2025-01-05 13:30:51,138.82271599769592
50,0.1,3,0.01,0.01,0.95875,0.9,2025-01-05 13:28:35,2025-01-05 13:30:53,138.45201134681702
50,0.05,5,0.0,0.0,0.958125,0.8675,2025-01-05 13:27:33,2025-01-05 13:31:07,214.4810357093811
50,0.05,5,0.0,0.001,0.958125,0.8675,2025-01-05 13:27:34,2025-01-05 13:31:08,213.9280354976654
50,0.05,5,0.001,0.0,0.958125,0.8675,2025-01-05 13:27:34,2025-01-05 13:31:08,213.3465497493744
50,0.05,5,0.0,0.01,0.951875,0.8675,2025-01-05 13:27:34,2025-01-05 13:31:08,213.93691515922546
50,0.05,5,0.001,0.01,0.95125,0.8675,2025-01-05 13:27:35,2025-01-05 13:31:09,214.26588439941406
50,0.05,5,0.01,0.001,0.953125,0.865,2025-01-05 13:27:35,2025-01-05 13:31:09,213.8831651210785
50,0.05,5,0.01,0.01,0.946875,0.865,2025-01-05 13:27:35,2025-01-05 13:31:09,214.04627108573914
50,0.05,5,0.001,0.001,0.958125,0.8675,2025-01-05 13:27:34,2025-01-05 13:31:09,214.9641077518463
50,0.05,5,0.01,0.0,0.955,0.865,2025-01-05 13:27:35,2025-01-05 13:31:10,215.214608669281
50,0.1,5,0.0,0.001,0.9975,0.895,2025-01-05 13:30:50,2025-01-05 13:33:17,147.03284287452698
50,0.1,5,0.001,0.0,0.9975,0.895,2025-01-05 13:30:51,2025-01-05 13:33:18,147.47056245803833
50,0.1,5,0.0,0.01,0.99625,0.89,2025-01-05 13:30:51,2025-01-05 13:33:19,148.16174006462097
50,0.1,5,0.001,0.01,0.99625,0.8925,2025-01-05 13:30:51,2025-01-05 13:33:19,147.5147259235382
50,0.1,5,0.0,0.0,0.9975,0.895,2025-01-05 13:30:50,2025-01-05 13:33:19,148.98757076263428
50,0.1,5,0.001,0.001,0.9975,0.895,2025-01-05 13:30:51,2025-01-05 13:33:19,147.9555959701538
50,0.1,5,0.01,0.001,0.99625,0.89,2025-01-05 13:30:52,2025-01-05 13:33:19,147.7927107810974
50,0.1,5,0.01,0.0,0.99625,0.895,2025-01-05 13:30:51,2025-01-05 13:33:19,147.94779777526855
50,0.1,5,0.01,0.01,0.995625,0.8925,2025-01-05 13:30:53,2025-01-05 13:33:20,146.73191118240356
